Common_Name,Scientific_Name
Brazilian tanager,Ramphocelus bresilia
Brazilian teal,Amazonetta brasiliensis
Brazilian tinamou,Crypturellus strigulosus
Brazza's martin,Phedinopsis brazzae
Brehm's tiger parrot,Psittacella brehmii
Brewer's blackbird,Euphagus cyanocephalus
Brewer's sparrow,Spizella breweri
Bridled honeyeater,Bolemoreus frenatus
Bridled quail-dove,Geotrygon mystacea
Bridled sparrow,Peucaea mystacalis
Bridled tern,Onychoprion anaethetus
Bridled titmouse,Baeolophus wollweberi
Bridled white-eye,Zosterops conspicillatus
Bright-rumped attila,Attila spadiceus
Bright-rumped yellow finch,Sicalis uropigyalis
Brigida's woodcreeper,Hylexetastes uniformis brigidai
Brimstone canary,Crithagra sulphurata
Bristle-crowned starling,Onychognathus salvadorii
Bristle-nosed barbet,Gymnobucco peli
Bristle-thighed curlew,Numenius tahitiensis
Bristled grassbird,Schoenicola striatus
Broad-billed fairywren,Chenorhamphus grayi
Broad-billed flycatcher,Myiagra ruficollis
Broad-billed hummingbird,Cynanthus latirostris
Broad-billed motmot,Electron platyrhynchum
Broad-billed parrot,Lophopsittacus mauritianus
Broad-billed prion,Pachyptila vittata
Broad-billed roller,Eurystomus glaucurus
Broad-billed sandpiper,Calidris falcinellus
Broad-billed tody,Todus subulatus
Broad-billed warbler,Tickellia hodgsoni
Broad-ringed white-eye,Zosterops eurycricotus
Broad-tailed grassbird,Schoenicola platyurus
Broad-tailed hummingbird,Selasphorus platycercus
Broad-tailed paradise whydah,Vidua obtusa
Broad-tipped hermit,Anopetia gounellei
Broad-winged hawk,Buteo platypterus
Brolga,Antigone rubicunda
Bronze ground dove,Alopecoenas beccarii
Bronze ground dove,Pampusana beccarii
Bronze mannikin,Spermestes cucullata
Bronze parotia,Parotia berlepschi
Bronze-brown cowbird,Molothrus armenti
Bronze-green euphonia,Euphonia mesochrysa
Bronze-olive pygmy tyrant,Pseudotriccus pelzelni
Bronze-tailed comet,Polyonymus caroli
Bronze-tailed peacock-pheasant,Polyplectron chalcurum
Bronze-tailed plumeleteer,Chalybura urochrysia
Bronze-tailed starling,Lamprotornis chalcurus
Bronze-tailed thornbill,Chalcostigma heteropogon
Bronze-winged courser,Rhinoptilus chalcopterus
Bronze-winged duck,Speculanas specularis
Bronze-winged jacana,Metopidius indicus
Bronze-winged parrot,Pionus chalcopterus
Bronze-winged woodpecker,Colaptes aeruginosus
Bronzed cowbird,Molothrus aeneus
Bronzed drongo,Dicrurus aeneus
Bronzy hermit,Glaucis aeneus
Bronzy inca,Coeligena coeligena
Bronzy jacamar,Galbula leucogastra
Bronzy sunbird,Nectarinia kilimensis
Brooks's leaf warbler,Phylloscopus subviridis
Brown accentor,Prunella fulvescens
Brown babbler,Turdoides plebejus
Brown barbet,Caloramphus fuliginosus
Brown boobook,Ninox scutulata
Brown booby,Sula leucogaster
Brown bullfinch,Pyrrhula nipalensis
Brown bush warbler,Locustella luteoventris
Brown cacholote,Pseudoseisura lophotes
Brown crake,Zapornia akool
Brown creeper,Certhia americana
Brown cuckoo-dove,Macropygia phasianella
Brown dipper,Cinclus pallasii
Brown eared pheasant,Crossoptilon mantchuricum
Brown emutail,Bradypterus brunneus
Brown falcon,Falco berigora
Brown firefinch,Lagonosticta nitidula
Brown fish owl,Ketupa zeylonensis
Brown fulvetta,Alcippe brunneicauda
Brown gerygone,Gerygone mouki
Brown goshawk,Accipiter fasciatus
Brown honeyeater,Lichmera indistincta
Brown illadopsis,Illadopsis fulvescens
Brown inca,Coeligena wilsoni
Brown jacamar,Brachygalba lugubris
Brown jay,Psilorhinus morio
Brown lory,Chalcopsitta duivenbodei
Brown mesite,Mesitornis unicolor
Brown nightjar,Veles binotatus
Brown noddy,Anous stolidus
Brown nunlet,Nonnula brunnea
Brown oriole,Oriolus szalayi
Brown parisoma,Curruca lugens
Brown parrotbill,Paradoxornis unicolor
Brown pelican,Pelecanus occidentalis
Brown prinia,Prinia polychroa
Brown quail,Synoicus ypsilophorus
Brown rock chat,Oenanthe fusca
Brown scrub robin,Cercotrichas signata
Brown shrike,Lanius cristatus
Brown sicklebill,Epimachus meyeri
Brown skua,Stercorarius antarcticus
Brown snake eagle,Circaetus cinereus
Brown songlark,Cincloramphus cruralis
Brown tanager,Orchesticus abeillei
Brown teal,Anas chlorotis
Brown thornbill,Acanthiza pusilla
Brown thrasher,Toxostoma rufum
Brown tinamou,Crypturellus obsoletus
Brown tit-babbler,Macronus striaticeps
Brown treecreeper,Climacteris picumnus
Brown trembler,Cinclocerthia ruficauda
Brown twinspot,Clytospiza monteiri
Brown violetear,Colibri delphinae
Brown wood owl,Strix leptogrammica
Brown wood rail,Aramides wolfi
Brown woodland warbler,Phylloscopus umbrovirens
Brown-and-yellow marshbird,Pseudoleistes virescens
Brown-backed chat-tyrant,Ochthoeca fumicolor
Brown-backed flowerpecker,Dicaeum everetti
Brown-backed honeybird,Prodotiscus regulus
Brown-backed honeyeater,Ramsayornis modestus
Brown-backed mockingbird,Mimus dorsalis
Brown-backed needletail,Hirundapus giganteus
Brown-backed parrotlet,Touit melanonotus
Brown-backed scrub robin,Cercotrichas hartlaubi
Brown-backed solitaire,Myadestes occidentalis
Brown-backed whistler,Pachycephala modesta
Brown-backed woodpecker,Dendropicos obsoletus
Brown-banded antpitta,Grallaria milleri
Brown-banded puffbird,Notharchus ordii
Brown-banded rail,Lewinia mirifica
Brown-bellied stipplethroat,Epinecrophylla gutturalis
Brown-bellied swallow,Orochelidon murina
Brown-billed scythebill,Campylorhamphus pusillus
Brown-breasted bamboo tyrant,Hemitriccus obsoletus
Brown-breasted barbet,Pogonornis melanopterus
Brown-breasted bulbul,Pycnonotus xanthorrhous
Brown-breasted flycatcher,Muscicapa muttui
Brown-breasted gerygone,Gerygone ruficollis
Brown-capped babbler,Pellorneum fuscocapillus
Brown-capped fantail,Rhipidura diluta
Brown-capped laughingthrush,Trochalopteron austeni
Brown-capped pygmy woodpecker,Yungipicus nanus
Brown-capped rosy finch,Leucosticte australis
Brown-capped tit-spinetail,Leptasthenura fuliginiceps
Brown-capped tyrannulet,Ornithion brunneicapillus
Brown-capped vireo,Vireo leucophrys
Brown-capped weaver,P. insignis
Brown-capped weaver,Ploceus weynsi
Brown-capped weaver,Ploceus insignis
Brown-capped whitestart,Myioborus brunniceps
Brown-cheeked bulbul,Alophoixus bres
Brown-cheeked fulvetta,Alcippe poioicephala
Brown-cheeked hornbill,Bycanistes cylindricus
Brown-cheeked laughingthrush,Trochalopteron henrici
Brown-cheeked rail,Rallus indicus
Brown-chested alethe,Chamaetylas poliocephala
Brown-chested barbet,Capito brunneipectus
Brown-chested jungle flycatcher,Cyornis brunneatus
Brown-chested lapwing,Vanellus superciliosus
Brown-chested martin,Progne tapera
Brown-crested flycatcher,Myiarchus tyrannulus
Brown-crowned scimitar babbler,Pomatorhinus phayrei
Brown-crowned tchagra,Tchagra australis
Brown-eared bulbul,Hypsipetes amaurotis
Brown-eared woodpecker,Pardipicus caroli
Brown-eared woodpecker,Campethera caroli
Brown-flanked bush warbler,Horornis fortipes
Brown-flanked tanager,Thlypopsis pectoralis
Brown-fronted woodpecker,Dendrocoptes auriceps
Brown-headed apalis,Apalis alticola
Brown-headed barbet,Psilopogon zeylanicus
Brown-headed cowbird,Molothrus ater
Brown-headed crow,Corvus fuscicapillus
Brown-headed greenlet,Hylophilus brunneiceps
Brown-headed gull,Chroicocephalus brunnicephalus
Brown-headed honeyeater,Melithreptus brevirostris
Brown-headed jewel-babbler,Ptilorrhoa geislerorum
Brown-headed nuthatch,Sitta pusilla
Brown-headed paradise kingfisher,Tanysiptera danae
Brown-headed parrot,Poicephalus cryptoxanthus
Brown-headed thrush,Turdus chrysolaus
Brown-hooded gull,Chroicocephalus maculipennis
Brown-hooded kingfisher,Halcyon albiventris
Brown-hooded parrot,Pyrilia haematotis
Brown-mandibled aracari,Pteroglossus mariae
Brown-necked parrot,Poicephalus fuscicollis
Brown-necked raven,Corvus ruficollis
Brown-rumped bunting,Emberiza affinis
Brown-rumped foliage-gleaner,Automolus melanopezus
Brown-rumped seedeater,Crithagra tristriata
Brown-rumped tapaculo,Scytalopus latebricola
Brown-streaked flycatcher,Muscicapa williamsoni
Brown-tailed rock chat,Oenanthe scotocerca
Brown-throated barbet,Psilopogon corvinus
Brown-throated fulvetta,Fulvetta ludlowi
Brown-throated martin,Riparia paludicola
Brown-throated parakeet,Eupsittula pertinax
Brown-throated sunbird,Anthreptes malacensis
Brown-throated wattle-eye,Platysteira cyanea
Brown-winged kingfisher,Pelargopsis amauroptera
Brown-winged parrotbill,Suthora brunnea
Brown-winged parrotbill,Sinosuthora brunnea
Brown-winged schiffornis,Schiffornis turdina
Brown-winged starling,Aplonis grandis
Brown-winged whistling thrush,Myophonus castaneus
Brownish elaenia,Elaenia pelzelni
Brownish twistwing,Cnipodectes subbrunneus
Brownish-headed antbird,Myrmelastes brunneiceps
Brubru,Nilaus afer
Bruce's green pigeon,Treron waalia
Brush bronzewing,Phaps elegans
Brush cuckoo,Cacomantis variolosus
Brushland tinamou,Nothoprocta cinerascens
Bryan's shearwater,Puffinus bryani
Bubbling cisticola,Cisticola bulliens
Buckley's forest falcon,Micrastur buckleyi
Budgerigar,"BUJ-ər-ih-gar, -⁠ə-ree-"
Budgerigar,Melopsittacus undulatus
Buff-banded rail,Hypotaenidia philippensis
Buff-banded thicketbird,Cincloramphus bivittatus
Buff-banded tyrannulet,Mecocerculus hellmayri
Buff-barred warbler,Phylloscopus pulcher
Buff-bellied hermit,Phaethornis subochraceus
Buff-bellied hummingbird,Amazilia yucatanensis
Buff-bellied mannikin,Lonchura melaena
Buff-bellied monarch,Neolalage banksiana
Buff-bellied pipit,Anthus rubescens
Buff-bellied puffbird,Notharchus swainsoni
Buff-bellied tanager,Thlypopsis inornata
Buff-bellied warbler,Phyllolais pulchella
Buff-breasted babbler,Pellorneum tickelli
Buff-breasted buttonquail,Turnix olivii
Buff-breasted earthcreeper,Upucerthia validirostris
Buff-breasted flycatcher,Empidonax fulvifrons
Buff-breasted mountain tanager,Dubusia taeniata
Buff-breasted paradise kingfisher,Tanysiptera sylvia
Buff-breasted sabrewing,Campylopterus duidae
Buff-breasted sandpiper,Calidris subruficollis
Buff-breasted tody-tyrant,Hemitriccus mirandae
Buff-breasted wheatear,Oenanthe bottae
Buff-breasted wren,Cantorchilus leucotis
Buff-bridled Inca finch,Incaspiza laeta
Buff-browed chachalaca,Ortalis superciliaris
Buff-browed foliage-gleaner,Syndactyla rufosuperciliata
Buff-cheeked greenlet,Pachysylvia muscicapina
Buff-cheeked tody-flycatcher,Poecilotriccus senex
Buff-chested babbler,Cyanoderma ambiguum
Buff-collared nightjar,Antrostomus ridgwayi
Buff-crested bustard,Lophotis gindiana
Buff-faced pygmy parrot,Micropsitta pusio
Buff-faced scrubwren,Aethomyias perspicillatus
Buff-faced scrubwren,Sericornis perspicillatus
Buff-fronted foliage-gleaner,Dendroma rufa
Buff-fronted owl,Aegolius harrisii
Buff-fronted quail-dove,Zentrygon costaricensis
Buff-headed coucal,Centropus milo
Buff-necked ibis,Theristicus caudatus
Buff-necked woodpecker,Meiglyptes tukki
Buff-rumped thornbill,Acanthiza reguloides
Buff-rumped warbler,Myiothlypis fulvicauda
Buff-rumped woodpecker,Meiglyptes grammithorax
Buff-sided robin,Poecilodryas cerviniventris
Buff-spotted flameback,Chrysocolaptes lucidus
Buff-spotted flufftail,Sarothrura elegans
Buff-spotted woodpecker,Pardipicus nivosus
Buff-spotted woodpecker,Campethera nivosa
Buff-streaked chat,Campicoloides bifasciatus
Buff-tailed coronet,Boissonneaua flavescens
Buff-tailed sicklebill,Eutoxeres condamini
Buff-thighed puffleg,Haplophaedia assimilis
Buff-throated apalis,Apalis rufogularis
Buff-throated purpletuft,Iodopleura pipra
Buff-throated saltator,Saltator maximus
Buff-throated sunbird,Chalcomitra adelberti
Buff-throated tody-tyrant,Hemitriccus rufigularis
Buff-throated warbler,Phylloscopus subaffinis
Buff-throated warbling finch,Microspingus lateralis
Buff-throated woodcreeper,Xiphorhynchus guttatus
Buff-vented bulbul,Iole crypta
Buff-winged cinclodes,Cinclodes fuscus
Buff-winged starfrontlet,Coeligena lutetiae
Bufflehead,Bucephala albeola
Buffy fish owl,Ketupa ketupu
Buffy helmetcrest,Oxypogon stuebelii
Buffy hummingbird,Leucippus fallax
Buffy laughingthrush,Pterorhinus berthemyi
Buffy pipit,Anthus vaalensis
Buffy tuftedcheek,Pseudocolaptes lawrencii
Buffy-crowned wood partridge,Dendrortyx leucophrys
Buffy-fronted seedeater,Sporophila frontalis
Bugun liocichla,Liocichla bugunorum
Bukidnon woodcock,Scolopax bukidnonensis
Bull-headed shrike,Lanius bucephalus
Buller's albatross,Thalassarche bulleri
Buller's shearwater,Ardenna bulleri
Bullock's oriole,Icterus bullockii
Bulwer's petrel,Bulweria bulwerii
Bulwer's pheasant,Lophura bulweri
Bumblebee hummingbird,Selasphorus heloisa
Bundok flycatcher,Ficedula luzoniensis
Burchell's coucal,Centropus burchellii
Burchell's courser,Cursorius rufus
Burchell's sandgrouse,Pterocles burchelli
Burchell's starling,Lamprotornis australis
Burmese bush lark,Mirafra microptera
Burmese bushtit,Aegithalos sharpei
Burmese myna,Acridotheres burmannicus
Burmese nuthatch,Sitta neglecta
Burmese prinia,Prinia cooki
Burmese shrike,Lanius collurioides
Burmese yuhina,Yuhina humilis
Burnished-buff tanager,Stilpnia cayana
Burnt-necked eremomela,Eremomela usticollis
Burrowing owl,Athene cunicularia
Burrowing parrot,Cyanoliseus patagonus
Buru boobook,Ninox hantu
Buru bush warbler,Locustella disturbans
Buru cuckooshrike,Coracina fortis
Buru dwarf kingfisher,Ceyx cajeli
Buru flowerpecker,Dicaeum erythrothorax
Buru friarbird,Philemon moluccensis
Buru golden bulbul,Hypsipetes mysticalis
Buru green pigeon,Treron aromaticus
Buru honeyeater,Lichmera deningeri
Buru jungle flycatcher,Eumyias additus
Buru monarch,Symposiachrus loricatus
Buru mountain pigeon,Gymnophaps mada
Buru racket-tail,Prioniturus mada
Buru thrush,Geokichla dumasi
Buru white-eye,Zosterops buruensis
Bush blackcap,Sylvia nigricapillus
Bush stone-curlew,Burhinus grallarius
Bushveld pipit,Anthus caffer
Bushwren,Xenicus longipes
Bushy-crested hornbill,Anorrhinus galeritus
Bushy-crested jay,Cyanocorax melanocyaneus
Butterfly coquette,Lophornis verreauxii
Buzzing flowerpecker,Dicaeum hypoleucum
Böhm's bee-eater,Merops boehmi
Böhm's flycatcher,Bradornis boehmi
Böhm's spinetail,Neafrapus boehmi
Caatinga antwren,Herpsilochmus sellowi
Caatinga antwren,Radinopsyche sellowi
Caatinga cacholote,Pseudoseisura cristata
Caatinga parakeet,Eupsittula cactorum
Caatinga puffbird,Nystalus maculatus
Cabanis's bunting,Emberiza cabanisi
Cabanis's greenbul,Phyllastrephus cabanisi
Cabanis's ground sparrow,Melozone cabanisi
Cabanis's spinetail,Synallaxis cabanisi
Cabanis's wren,Cantorchilus modestus
Cabot's tern,Thalasseus acuflavidus
Cabot's tragopan,Tragopan caboti
Cachar bulbul,Iole cacharensis
Cachar wedge-billed babbler,Stachyris roberti
Cackling goose,Branta hutchinsii
Cactus canastero,Pseudasthenes cactorum
Cactus wren,Campylorhynchus brunneicapillus
Caica parrot,Pyrilia caica
Calabarzon babbler,Sterrhoptilus affinis
Calandra lark,Melanocorypha calandra
Calayan rail,Aptenorallus calayanensis
Calayan rail,Gallirallus calayanensis
California condor,Gymnogyps californianus
California gnatcatcher,Polioptila californica
California gull,Larus californicus
California quail,Callipepla californica
California scrub jay,Aphelocoma californica
California thrasher,Toxostoma redivivum
California towhee,Melozone crissalis
Calliope hummingbird,kə-LY-ə-pee
Calliope hummingbird,Selasphorus calliope
Cambodian laughingthrush,Garrulax ferrarius
Cambodian tailorbird,Orthotomus chaktomuk
Cameroon greenbul,Arizelocichla montana
Cameroon indigobird,Vidua camerunensis
Cameroon olive greenbul,Phyllastrephus poensis
Cameroon olive pigeon,Columba sjostedti
Cameroon sunbird,Cyanomitra oritis
Camiguin boobook,Ninox leventisi
Camiguin hanging parrot,Loriculus camiguinensis
Campbell albatross,Thalassarche impavida
Campbell shag,Leucocarbo campbelli
Campbell teal,Anas nesiotis
Campbell's fairywren,Chenorhamphus campbelli
Campina thrush,Turdus arthuri
Campo flicker,Colaptes campestris
Campo miner,Geositta poeciloptera
Campo troupial,Icterus jamacaii
Canada goose,Branta canadensis
Canada jay,Perisoreus canadensis
Canada warbler,Cardellina canadensis
Canary Islands chiffchaff,Phylloscopus canariensis
Canary Islands oystercatcher,Haematopus meadewaldoi
Canary Islands stonechat,Saxicola dacotiae
Canary flyrobin,Devioeca papuana
Canary white-eye,Zosterops luteus
Canebrake groundcreeper,Clibanornis dendrocolaptoides
Canebrake wren,Cantorchilus zeledoni
Canivet's emerald,Cynanthus canivetii
Canvasback,Aythya valisineria
Canyon canastero,Asthenes pudibunda
Canyon towhee,Melozone fusca
Canyon wren,Catherpes mexicanus
Cape Barren goose,Cereopsis novaehollandiae
Cape May warbler,Setophaga tigrina
Cape Verde buzzard,Buteo bannermani
Cape Verde shearwater,Calonectris edwardsii
Cape Verde storm petrel,Hydrobates jabejabe
Cape Verde swift,Apus alexandri
Cape Verde warbler,Acrocephalus brevipennis
Cape batis,Batis capensis
Cape bulbul,Pycnonotus capensis
Cape bunting,Emberiza capensis
Cape canary,Serinus canicollis
Cape clapper lark,Mirafra apiata
Cape cormorant,Phalacrocorax capensis
Cape crow,Corvus capensis
Cape eagle-owl,Bubo capensis
Cape gannet,Morus capensis
Cape grassbird,Sphenoeacus afer
Cape long-billed lark,Certhilauda curvirostris
Cape longclaw,Macronyx capensis
Cape parrot,Poicephalus robustus
Cape penduline tit,Anthoscopus minutus
Cape petrel,Daption capense
Cape robin-chat,Dessonornis caffer
Cape rock thrush,Monticola rupestris
Cape rockjumper,Chaetops frenatus
Cape shoveler,Spatula smithii
Cape siskin,Crithagra totta
Cape sparrow,Passer melanurus
Cape spurfowl,Pternistis capensis
Cape starling,Lamprotornis nitens
Cape sugarbird,Promerops cafer
Cape teal,Anas capensis
Cape vulture,Gyps coprotheres
Cape wagtail,Motacilla capensis
Cape weaver,Ploceus weynsi
Cape weaver,P. capensis
Cape weaver,Ploceus capensis
Cape white-eye,Zosterops virens
Capped conebill,Conirostrum albifrons
Capped heron,Pilherodius pileatus
Capped wheatear,Oenanthe pileata
Capped white-eye,Zosterops fuscicapilla
Capuchin babbler,Turdoides atripennis
Capuchinbird,Perissocephalus tricolor
Caracas brushfinch,Arremon phaeopleurus
Caracas tapaculo,Scytalopus caracae
Carbonated sierra finch,Rhopospina carbonaria
Cardinal lory,Pseudeos cardinalis
Cardinal myzomela,Myzomela cardinalis
Cardinal quelea,Quelea cardinalis
Cardinal quelea,Ploceus weynsi
Cardinal quelea,Q. cardinalis
Cardinal woodpecker,Dendropicos fuscescens
Carib grackle,Quiscalus lugubris
Caribbean dove,Leptotila jamaicensis
Caribbean elaenia,Elaenia martinica
Caribbean hornero,Furnarius longirostris
Caribbean martin,Progne dominicensis
Carmelite sunbird,Chalcomitra fuliginosa
Carmiol's tanager,Chlorothraupis carmioli
Carnaby's black cockatoo,Zanda latirostris
Carola's parotia,", Parotia carolae"
Carola's parotia,Parotia carolae
Carolina chickadee,Poecile carolinensis
Carolina parakeet,Conuropsis carolinensis
Carolina wren,Thryothorus ludovicianus
Caroline reed warbler,Acrocephalus syrinx
Carp's tit,Melaniparus carpi
Carpentarian grasswren,Amytornis dorotheae
Carrion crow,Corvus corone
Carrizal seedeater,Amaurospiza carrizalensis
Carruthers's cisticola,Cisticola carruthersi
Carunculated caracara,Phalcoboenus carunculatus
Carunculated fruit dove,Ptilinopus granulifrons
Caspian gull,Larus cachinnans
Caspian plover,Charadrius asiaticus
Caspian plover,Anarhynchus asiaticus
Caspian snowcock,Tetraogallus caspius
Caspian tern,Hydroprogne caspia
Caspian tit,Poecile hyrcanus
Casqued cacique,Cacicus oseryi
Cassia crossbill,Loxia sinesciuris
Cassin's auklet,Ptychoramphus aleuticus
Cassin's finch,Haemorhous cassinii
Cassin's flycatcher,Muscicapa cassini
Cassin's hawk-eagle,Aquila africana
Cassin's honeybird,Prodotiscus insignis
Cassin's kingbird,Tyrannus vociferans
Cassin's malimbe,M. cassini
Cassin's malimbe,Malimbus cassini
Cassin's malimbe,Ploceus weynsi
Cassin's sparrow,Peucaea cassinii
Cassin's spinetail,Neafrapus cassini
Cassin's vireo,Vireo cassinii
Castelnau's antshrike,Thamnophilus cryptoleucus
Cattle tyrant,Machetornis rixosa
Cauca guan,Penelope perspicax
Caucasian grouse,Lyrurus mlokosiewiczi
Caucasian snowcock,Tetraogallus caucasicus
Caura antbird,Myrmelastes caurensis
Cave swallow,Petrochelidon fulva
Cave swiftlet,Collocalia linchi
Cayenne jay,Cyanocorax cayanus
Cayenne nightjar,Setopagis maculosa
Ceara woodcreeper,Xiphorhynchus atlanticus
Ceará gnateater,Conopophaga cearae
Cebu boobook,Ninox rumseyi
Cebu flowerpecker,Dicaeum quadricolor
Cedar waxwing,Bombycilla cedrorum
Celestial monarch,Hypothymis coelestis
Central American pygmy owl,Glaucidium griseiceps
Cerulean cuckooshrike,Coracina temminckii
Cerulean flycatcher,Eutrichomyias rowleyi
Cerulean kingfisher,Alcedo coerulescens
Cerulean warbler,Setophaga cerulea
Cerulean-capped manakin,Lepidothrix coeruleocapilla
Cetti's warbler,Cettia cetti
Chabert vanga,Leptopterus chabert
Chaco chachalaca,Ortalis canicollis
Chaco eagle,Buteogallus coronatus
Chaco earthcreeper,Tarphonomus certhioides
Chaco owl,Strix chacoensis
Chaco puffbird,Nystalus striatipectus
Chaco sparrow,Rhynchospiza strigiceps
Chad firefinch,Lagonosticta umbrinodorsalis
Chalk-browed mockingbird,Mimus saturninus
Changeable hawk-eagle,Nisaetus cirrhatus
Channel-billed cuckoo,Scythrops novaehollandiae
Channel-billed toucan,Ramphastos vitellinus
Chapada flycatcher,Guyramemua affine
Chapin's apalis,Apalis chapini
Chapin's babbler,Turdoides chapini
Chapin's flycatcher,Fraseria lendu
Chaplin's barbet,Lybius chaplini
Chapman's antshrike,Thamnophilus zarumae
Chapman's bristle tyrant,Pogonotriccus chapmani
Chapman's swift,Chaetura chapmani
Charlotte's bulbul,Iole charlottae
Charming hummingbird,Polyerata decora
Chat flycatcher,Agricola infuscatus
Chatham albatross,Thalassarche eremita
Chatham bellbird,Anthornis melanocephala
Chatham fernbird,Poodytes rufescens
Chatham gerygone,Gerygone albofrontata
Chatham oystercatcher,Haematopus chathamensis
Chatham parakeet,Cyanoramphus forbesi
Chatham petrel,Pterodroma axillaris
Chatham pigeon,Hemiphaga chathamensis
Chatham rail,Cabalus modestus
Chatham shag,Leucocarbo onslowi
Chatham snipe,Coenocorypha pusilla
Chattering cisticola,Cisticola anonymus
Chattering gnatwren,Ramphocaenus sticturus
Chattering kingfisher,Todiramphus tutus
Chattering lory,Lorius garrulus
Checker-throated stipplethroat,Epinecrophylla fulviventris
Checker-throated woodpecker,Chrysophlegma mentale
Checkered woodpecker,Veniliornis mixtus
Cheer pheasant,Catreus wallichii
Cherrie's antwren,Myrmotherula cherriei
Cherry-throated tanager,Nemosia rourei
Chestnut antpitta,Grallaria blakei
Chestnut bulbul,Hemixos castanonotus
Chestnut bunting,Emberiza rutila
Chestnut forest rail,Rallicula rubra
Chestnut munia,Lonchura atricapilla
Chestnut owlet,Glaucidium castaneum
Chestnut piculet,Picumnus cinnamomeus
Chestnut quail-thrush,Cinclosoma castanotum
Chestnut rail,Eulabeornis castaneoventris
Chestnut seedeater,Sporophila cinnamomea
Chestnut sparrow,Passer eminibey
Chestnut teal,Anas castanea
Chestnut thrush,Turdus rubrocanus
Chestnut wattle-eye,Platysteira castanea
Chestnut weaver,P. rubiginosus
Chestnut weaver,Ploceus weynsi
Chestnut weaver,Ploceus rubiginosus
Chestnut wood quail,Odontophorus hyperythrus
Chestnut woodpecker,Celeus elegans
Chestnut-backed antbird,Poliocrania exsul
Chestnut-backed antshrike,Thamnophilus palliatus
Chestnut-backed buttonquail,Turnix castanotus
Chestnut-backed chickadee,Poecile rufescens
Chestnut-backed jewel-babbler,Ptilorrhoa castanonota
Chestnut-backed laughingthrush,Pterorhinus nuchalis
Chestnut-backed owlet,Glaucidium castanotum
Chestnut-backed sparrow-lark,Eremopterix leucotis
Chestnut-backed sparrow-weaver,Ploceus weynsi
Chestnut-backed sparrow-weaver,Plocepasser rufoscapulatus
Chestnut-backed sparrow-weaver,P. rufoscapulatus
Chestnut-backed tanager,Stilpnia preciosa
Chestnut-backed thornbird,Phacellodomus dorsalis
Chestnut-backed thrush,Geokichla dohertyi
Chestnut-banded plover,Anarhynchus pallidus
Chestnut-banded plover,Charadrius pallidus
Chestnut-bellied cotinga,Doliornis remseni
Chestnut-bellied cuckoo,Coccyzus pluvialis
Chestnut-bellied euphonia,Euphonia pectoralis
Chestnut-bellied fantail,Rhipidura hyperythra
Chestnut-bellied flowerpiercer,Diglossa gloriosissima
Chestnut-bellied guan,Penelope ochrogaster
Chestnut-bellied hummingbird,Saucerottia castaneiventris
Chestnut-bellied imperial pigeon,Ducula brenchleyi
Chestnut-bellied malkoha,Phaenicophaeus sumatranus
Chestnut-bellied monarch,Monarcha castaneiventris
Chestnut-bellied mountain tanager,Dubusia castaneoventris
Chestnut-bellied nuthatch,Sitta cinnamoventris
Chestnut-bellied partridge,Arborophila javanica
Chestnut-bellied rock thrush,Monticola rufiventris
Chestnut-bellied sandgrouse,Pterocles exustus
Chestnut-bellied sandgrouse,citation needed
Chestnut-bellied seed finch,Sporophila angolensis
Chestnut-bellied seedeater,Sporophila castaneiventris
Chestnut-bellied starling,Lamprotornis pulcher
Chestnut-bellied thrush,Turdus fulviventris
Chestnut-bellied tit,Sittiparus castaneoventris
Chestnut-belted gnateater,Conopophaga aurita
Chestnut-breasted chlorophonia,Chlorophonia pyrrhophrys
Chestnut-breasted coronet,Boissonneaua matthewsii
Chestnut-breasted cuckoo,Cacomantis castaneiventris
Chestnut-breasted malkoha,Phaenicophaeus curvirostris
Chestnut-breasted mannikin,Lonchura castaneothorax
Chestnut-breasted mountain finch,Poospizopsis caesar
Chestnut-breasted nigrita,Nigrita bicolor
Chestnut-breasted partridge,Arborophila mandellii
Chestnut-breasted quail-thrush,Cinclosoma castaneothorax
Chestnut-breasted whiteface,Aphelocephala pectoralis
Chestnut-breasted wren,Cyphorhinus thoracicus
Chestnut-capped babbler,Timalia pileata
Chestnut-capped blackbird,Chrysomus ruficapillus
Chestnut-capped brushfinch,Arremon brunneinucha
Chestnut-capped flycatcher,Erythrocercus mccallii
Chestnut-capped laughingthrush,Pterorhinus mitratus
Chestnut-capped piha,Lipaugus weberi
Chestnut-capped puffbird,Bucco macrodactylus
Chestnut-capped thrush,Geokichla interpres
Chestnut-cheeked starling,Agropsar philippensis
Chestnut-collared longspur,Calcarius ornatus
Chestnut-collared swallow,Petrochelidon rufocollaris
Chestnut-collared swift,Streptoprocne rutila
Chestnut-colored woodpecker,Celeus castaneus
Chestnut-crested antbird,Rhegmatorhina cristata
Chestnut-crested cotinga,Ampelion rufaxilla
Chestnut-crested yuhina,Staphida everetti
Chestnut-crowned antpitta,Grallaria ruficapilla
Chestnut-crowned babbler,Pomatostomus ruficeps
Chestnut-crowned becard,Pachyramphus castaneus
Chestnut-crowned bush warbler,Cettia major
Chestnut-crowned foliage-gleaner,Automolus rufipileatus
Chestnut-crowned gnateater,Conopophaga castaneiceps
Chestnut-crowned laughingthrush,Trochalopteron erythrocephalum
Chestnut-crowned sparrow-weaver,Ploceus weynsi
